video_id,title,description,published_at,channel_title
0-HWVOEXsv0,TOP 10 de 2023 📚 mes meilleures lectures de l&#39;année 🧡,"Quels sont les romans que j'ai le plus aimés en 2023 ? Et surtout, POURQUOI ? C'est la vidéo que je préfère vous tourner ...",2023-12-30T09:00:00Z,Audrey - Le Souffle des Mots
FN4Lp2CQ1Kw,"J&#39;ai lu 124 LIVRES cette année, voici mes favoris",Hello ma team Jeannot. Je suis trop contente de vous retrouver pour vous parler de mes lectures préférés de 2023. Roman ...,2023-12-16T09:00:08Z,Jeannot se livre
-RTlJqOZaOM,JE JUGE LES 50 LIVRES LES PLUS LUS DE 2023 (selon goodreads) | tier ranking de livres populaires,Je vous donne mon avis sur les 50 livres les plus lus de l'année selon Goodreads ! Est-ce que ça vaut la peine de lire des livres ...,2023-11-17T15:30:00Z,Sous le ciel
msSHHUkTs_w,ARRIVÉE LIVRESQUE 📚 +25 livres en avril 2023,"De jolies réceptions livresques ce mois-ci, des romans en versions collectors, des bandes dessinées intrigantes, des mangas ...",2023-05-03T12:00:36Z,Audrey - Le Souffle des Mots
bxtnqAb-4zA,Mes meilleures lectures de 2023 ! (sur environ 270 livres lus cette année),Coucou tout le monde! Aujourd'hui je vous présente mes meilleures lectures de cette année ! N'hésitez pas à me dire ce que ...,2023-12-16T08:30:12Z,Les livres de la crypte
DDLMKQfXJKc,"Découvrez Le Livre de Nathan, le nouveau roman de Nicolas Cartelet","Le 7 juin, le nouveau roman de Nicolas Cartelet, Le Livre de Nathan, arrive en librairie ! Découvrez le destin improbable du ...",2023-05-24T07:22:49Z,Éditions Mnémos
-AvmeDNI8XE,Le nouveau livre de Nicolas Sarkozy : &quot;Il sort la sulfateuse&quot;,"Le nouveau livre de Nicolas #Sarkozy : ""Il sort la sulfateuse"", selon Thomas Despré dans #RTLMatin avec Isabelle Choquet.",2023-08-17T06:21:53Z,RTL  
hH-Wob0nJ7U,Mes livres préférés de 2023,coucouuuuu :) intro (00:00) livre 1 (2:30) livre 2 (3:44) livre 3 (5:29) livre 4 (7:07) livre 5 (10:07) livre 6 (11:49) livre 7 (13:18) ...,2024-02-13T17:05:54Z,colineblf
hpWeX6VET-w,Mes 10 meilleures lectures de 2023 (et pourquoi vous devriez les lire),"Dans cette vidéo, je vous parle des livres qui m'ont marquée en 2023. Me soutenir sur Patron : https://www.patreon.com/Margorito ...",2024-01-07T13:28:42Z,Margorito
KF0Kn4f5ro8,TOP &amp; FLOP DE L&#39;ANNÉE 2024 : c&#39;est l&#39;heure de faire le bilan ! 📚❤️👎,Hello tout le monde ! 2024 n'est pas encore tout à fait terminée… mais j'étais impatiente de vous partager mes lectuuuures alors ...,2024-12-27T17:00:18Z,Muffinsandbooks
CHWAWzVofbE,Alain Auderset - Le vernissage de mon nouveau livre,SEMAINE VERNISSAGE + d'infos : https://www.auderset.com/accueil/news/vernissage-la-legende-de-mi 21- 25.11.2023 Cette ...,2023-10-25T17:00:10Z,Alain Auderset
FSdJ7e4qeCk,NOUVEAUTÉ HAPPY 30 ♥️ LIVRE-COACH 👌 MON LIVRE PRÉFÉRÉ DE 2023,"Diplômée en coaching sportif, je suis passionnée par la psychologie alimentaire, la chronobiologie, la physiologie et toutes ...",2023-12-22T08:00:06Z,Jess la coach
Uo1QkQlWA_M,⚔️ NOUVEAU LIVRE DE BERNARD LUGAN : Éloge du duel 🤺 #journal #journaliste #duel #justice,ABONNE-TOI ▻ https://bit.ly/UBDYouTube pour plus de Bonnes Droites ! Média généraliste de droite. Vidéos percutantes ...,2023-09-25T15:00:19Z,Une Bonne Droite
ZRhG7LGy8Ak,Mon nouveau livre est disponible partout 🧡 #albumjeunesse #aquarelle #peinture #livre #illustration,,2023-11-24T19:24:03Z,nuage blanc
PgV5zq-CNJ4,Livre : conte de fée - Le nouveau chef d&#39;oeuvre de Stephen King,Pour lire le résumé et commander le livre sur Amazon : https://amzn.to/3GmBsvT Pensez également à soutenir votre libraire et à ...,2023-12-25T06:00:11Z,Le Petit Coin Lecture
nKd54eh7JDs,Johan a aussi sorti son nouveau livre #passion #dessin #frere #geek #livre,,2023-03-31T16:04:01Z,Astérion
mGvsvIl3HM8,La Quotidienne (24/11/2023) - Le nouveau livre jeunesse de Francois Place,"François Place vient de sortir un nouveau livre, ""L'enfant, le peintre et la mer"". L'écrivain et illustrateur est l'invité d'Emmanuel ...",2023-11-24T16:00:29Z,SQOOL TV
BncNbKVxOWc,Mon nouveau livre est sorti ! - Patrick Sardais,Merci d'avoir regardé cette video. N'hésitez pas à me rejoindre sur TikTok : Patrick.Sardais Retrouvez mon livre sur Amazon ...,2023-01-27T17:00:08Z,Patrick Sardais
PLRqaPWeAy0,Un nouveau livre à tester!,J'ai maintenant le livre de Josée Di Stasio - Les carnets de saison - Printemps - Été De nouvelles recettes en perspective!,2023-07-10T22:13:35Z,Cuisine avec tes livres! 
M_NVCBvXYcs,Nouveau dans ma PAL Les impatientes #booktube #livre #lecture,,2023-09-27T16:50:33Z,Maxime Seraf
S1PsuN7pWLc,#action #haulaction #nouveauté #arrivage #enfants #livre #news #pourtoi #fypシ #fyp #viral,,2023-09-28T19:31:30Z,Kailams
VTV6mW_eW_w,sortie du nouveau livre lgdc #laguerredesclans #abonnetoi,,2023-09-14T17:43:19Z,Plume de lune
